direction,pulse_us,angle_deg,valid
U,1345,76.113,1
U,1346,76.377,1
U,1347,76.553,1
U,1348,76.553,1
U,1349,76.641,1
U,1350,76.904,1
U,1351,77.080,1
U,1352,77.080,1
U,1353,77.080,1
U,1354,77.080,1
U,1355,77.080,1
U,1356,77.080,1
U,1357,77.080,1
U,1358,77.256,1
U,1359,77.607,1
U,1360,77.871,1
U,1361,77.871,1
U,1362,77.871,1
U,1363,78.135,1
U,1364,78.311,1
U,1365,78.311,1
U,1366,78.398,1
U,1367,78.486,1
U,1368,78.486,1
U,1369,78.486,1
U,1370,78.486,1
U,1371,78.750,1
U,1372,78.926,1
U,1373,78.926,1
U,1374,78.926,1
U,1375,79.102,1
U,1376,79.277,1
U,1377,79.189,1
U,1378,79.189,1
U,1379,79.277,1
U,1380,79.541,1
U,1381,79.629,1
U,1382,79.629,1
U,1383,79.629,1
U,1384,79.629,1
U,1385,79.629,1
U,1386,79.629,1
U,1387,79.629,1
U,1388,79.893,1
U,1389,80.244,1
U,1390,80.596,1
U,1391,80.771,1
U,1392,80.771,1
U,1393,80.771,1
U,1394,80.771,1
U,1395,80.771,1
U,1396,80.771,1
U,1397,80.859,1
U,1398,81.123,1
U,1399,81.299,1
U,1400,81.299,1
U,1401,81.299,1
U,1402,81.387,1
U,1403,81.563,1
U,1404,81.475,1
U,1405,81.475,1
U,1406,81.650,1
U,1407,81.738,1
U,1408,81.738,1
U,1409,81.738,1
U,1410,81.738,1
U,1411,82.002,1
U,1412,82.266,1
U,1413,82.441,1
U,1414,82.705,1
U,1415,82.881,1
U,1416,82.969,1
U,1417,82.969,1
U,1418,82.969,1
U,1419,82.969,1
U,1420,82.969,1
U,1421,83.057,1
U,1422,83.320,1
U,1423,83.496,1
U,1424,83.496,1
U,1425,83.496,1
U,1426,83.672,1
U,1427,83.672,1
U,1428,83.672,1
U,1429,83.672,1
U,1430,83.936,1
U,1431,84.111,1
U,1432,84.111,1
U,1433,84.111,1
U,1434,84.287,1
U,1435,84.463,1
U,1436,84.375,1
U,1437,84.463,1
U,1438,84.375,1
U,1439,84.375,1
U,1440,84.375,1
U,1441,84.375,1
U,1442,84.727,1
U,1443,85.078,1
U,1444,85.254,1
U,1445,85.430,1
U,1446,85.430,1
U,1447,85.342,1
U,1448,85.342,1
U,1449,85.518,1
U,1450,85.781,1
U,1451,85.869,1
U,1452,85.869,1
U,1453,85.869,1
U,1454,85.957,1
U,1455,86.133,1
U,1456,86.309,1
U,1457,86.309,1
U,1458,86.484,1
U,1459,86.748,1
U,1460,87.012,1
U,1461,87.012,1
U,1462,87.012,1
U,1463,87.012,1
U,1464,87.012,1
U,1465,87.100,1
U,1466,87.363,1
U,1467,87.451,1
U,1468,87.451,1
U,1469,87.451,1
U,1470,87.451,1
U,1471,87.451,1
U,1472,87.451,1
U,1473,87.451,1
U,1474,87.451,1
U,1475,87.451,1
U,1476,87.451,1
U,1477,87.627,1
U,1478,87.891,1
U,1479,88.154,1
U,1480,88.154,1
U,1481,88.242,1
U,1482,88.418,1
U,1483,88.506,1
U,1484,88.594,1
U,1485,88.857,1
U,1486,88.857,1
U,1487,88.770,1
U,1488,88.770,1
U,1489,88.770,1
U,1490,88.945,1
U,1491,89.209,1
U,1492,89.385,1
U,1493,89.297,1
U,1494,89.297,1
U,1495,89.297,1
U,1496,89.561,1
U,1497,89.824,1
U,1498,89.824,1
U,1499,89.824,1
U,1500,89.736,1
U,1501,89.736,1
U,1502,89.736,1
U,1503,89.912,1
U,1504,90.088,1
U,1505,90.264,1
U,1506,90.439,1
U,1507,90.615,1
U,1508,90.703,1
U,1509,90.703,1
U,1510,90.703,1
U,1511,90.703,1
U,1512,90.879,1
U,1513,90.967,1
U,1514,90.879,1
U,1515,90.879,1
U,1516,91.055,1
U,1517,91.230,1
U,1518,91.318,1
U,1519,91.318,1
U,1520,91.318,1
U,1521,91.494,1
U,1522,91.670,1
U,1523,91.846,1
U,1524,91.934,1
U,1525,92.021,1
U,1526,92.109,1
U,1527,92.109,1
U,1528,92.109,1
U,1529,92.109,1
U,1530,92.285,1
U,1531,92.549,1
U,1532,92.637,1
U,1533,92.549,1
U,1534,92.549,1
U,1535,92.549,1
U,1536,92.549,1
U,1537,92.637,1
U,1538,92.812,1
U,1539,92.988,1
U,1540,93.076,1
U,1541,92.988,1
U,1542,93.076,1
U,1543,93.076,1
U,1544,93.076,1
U,1545,93.076,1
U,1546,93.252,1
U,1547,93.604,1
U,1548,93.691,1
U,1549,93.691,1
U,1550,93.779,1
U,1551,93.955,1
U,1552,94.043,1
U,1553,94.219,1
U,1554,94.307,1
U,1555,94.219,1
U,1556,94.219,1
U,1557,94.219,1
U,1558,94.395,1
U,1559,94.658,1
U,1560,94.746,1
U,1561,94.658,1
U,1562,94.658,1
U,1563,94.658,1
U,1564,94.746,1
U,1565,94.922,1
U,1566,95.273,1
U,1567,95.537,1
U,1568,95.625,1
