pulse_us,angle_deg,valid
1542,93.164,1
1543,93.252,1
1544,93.252,1
1545,93.516,1
1546,94.043,1
1547,94.307,1
1548,94.219,1
1549,94.219,1
1550,94.219,1
1551,94.219,1
1552,94.219,1
1553,94.219,1
1554,94.219,1
1555,94.219,1
1556,94.395,1
1557,94.570,1
1558,94.658,1
1559,94.658,1
1560,94.658,1
1561,94.658,1
1562,94.658,1
1563,94.746,1
1564,95.010,1
1565,95.273,1
1566,95.449,1
1567,95.361,1
1568,95.361,1
1569,95.537,1
1570,95.713,1
1571,95.801,1
1572,96.064,1
1573,96.416,1
1574,96.592,1
1575,96.592,1
1576,96.504,1
1577,96.504,1
1578,96.504,1
1579,96.592,1
1580,96.680,1
1581,96.680,1
1582,96.680,1
1583,96.680,1
1584,96.680,1
1585,96.680,1
1586,96.680,1
1587,96.855,1
1588,97.119,1
1589,97.295,1
1590,97.471,1
1591,97.559,1
1592,97.646,1
1593,97.646,1
1594,97.559,1
1595,97.646,1
1596,97.822,1
1597,98.086,1
1598,98.174,1
1599,98.174,1
1600,98.174,1
1601,98.350,1
1602,98.262,1
1603,98.262,1
1604,98.350,1
1605,98.613,1
1606,98.789,1
1607,98.877,1
1608,98.789,1
1609,98.789,1
1610,98.965,1
1611,99.053,1
1612,99.141,1
1613,99.141,1
1614,99.316,1
1615,99.580,1
1616,99.580,1
1617,99.756,1
1618,99.932,1
1619,100.020,1
1620,100.107,1
1621,100.107,1
1622,100.283,1
1623,100.459,1
1624,100.459,1
1625,100.371,1
1626,100.371,1
1627,100.547,1
1628,100.811,1
1629,101.074,1
1630,101.162,1
1631,101.250,1
1632,101.162,1
1633,101.162,1
1634,101.162,1
1635,101.338,1
1636,101.514,1
1637,101.602,1
1638,101.602,1
1639,101.602,1
1640,101.689,1
1641,101.602,1
1642,101.689,1
1643,101.865,1
1644,102.129,1
1645,102.129,1
1646,102.129,1
1647,102.217,1
1648,102.393,1
1649,102.568,1
1650,102.568,1
1651,102.568,1
1652,102.832,1
1653,102.832,1
1654,102.832,1
1655,102.832,1
1656,102.832,1
1657,103.008,1
1658,103.271,1
1659,103.359,1
1660,103.359,1
1661,103.359,1
